num states cc mbpt cc_times mbpt_times
6 6 0 0 0.156646 0.000090
6 7 -1.2174641850965484 -2.9307270472926374 1.672039 0.000173
6 8 -1.7612471642876819 -4.3307621429508307 2.974175 0.000278
6 9 -2.4726421885182992 -5.3483972367986077 3.153397 0.000859
6 10 -3.2485801332596571 -6.9743608102226275 5.371174 0.002135
6 11 -3.7074480157859089 -7.5983304681320156 7.196764 0.002675
6 12 -3.7998148413731982 -7.702916500483326 7.279061 0.003605
6 13 -4.0786801431502662 -8.0686942359812814 8.756772 0.003656
6 14 -4.5041119941274115 -8.5811315866034299 13.705047 0.005204
6 15 -4.5439346646385239 -8.629537513428561 14.147697 0.005771
6 16 -4.7624471115728841 -8.8804406771059661 15.777362 0.008939
6 17 -4.9153321353331627 -9.0585822161369531 19.665581 0.006561
6 18 -4.9894709003054665 -9.1422360730693732 22.395109 0.007428
6 19 -5.0602441081556941 -9.2245835714547919 26.697775 0.008237
6 20 -5.1716123946061821 -9.3532378790702406 31.592906 0.011961
6 21 -5.2162429686452043 -9.4032696105410185 32.453351 0.013356
6 22 -5.2498680104010056 -9.4416935140159026 36.826691 0.014068
6 23 -5.2861286736797837 -9.4845304853497865 42.167680 0.015499
6 24 -5.3650769115012427 -9.5777238556032707 48.297481 0.016919
6 25 -5.3953199513957477 -9.614237209545081 53.696326 0.016205
6 26 -5.4451723962142617 -9.675231988439128 67.888618 0.021416
6 27 -5.4770837039375007 -9.7145974327226643 72.310341 0.025275
6 28 -5.4828519738121297 -9.721851428414773 72.079720 0.024251
6 29 -5.5031161770884287 -9.7477315372565254 81.125974 0.025161
6 30 -5.5213946252017125 -9.7711306520044232 86.763098 0.026412
6 31 -5.5379269332705565 -9.7928387557045191 97.440681 0.028685
6 50 -5.6593411170334642 -9.9652458262885215 303.982655 0.060322
6 56 -5.6736718039202199 -9.9879037920783507 393.382710 0.182289
6 65 -5.6877128987763381 -10.010716443997671 549.803122 0.159390
6 40 -5.6189434969405792 -9.9044340677752256 190.417128 0.090310
6 70 -5.6925424830242131 -10.018731855275711 622.201067 0.141741
